Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;1.5;40;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
622;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
623;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
625;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
626;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
628;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
629;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
631;5.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
632;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
633;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
634;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
635;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
636;3;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
637;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
638;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
639;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
640;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
641;3;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
642;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
643;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
644;3;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
646;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
647;3.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
648;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
649;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
650;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
651;4;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
652;4;20;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
653;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
654;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
655;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
656;2.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
657;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
658;2.5;6;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;3.5;35;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;0.1;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
662;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;4.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;2.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
665;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
666;4;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
668;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
669;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
670;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
671;5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
672;2.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
673;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
674;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
675;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
676;2.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
677;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
678;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
679;4;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
680;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
681;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
682;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
683;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
684;3;17;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
686;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
687;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
688;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
689;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
690;2;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
691;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
692;4;35;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
693;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
694;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
695;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
696;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
697;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
698;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;2.5;35;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;0.1;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
702;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;2.5;8;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
705;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
706;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
707;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
708;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
709;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
711;0;0;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
712;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
713;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
714;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
715;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
716;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
717;0.1;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
718;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
719;3.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
720;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
721;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
722;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
723;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
724;2.5;30;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
725;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
726;1.5;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
727;4.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
728;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
729;4;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
730;3.5;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
731;2;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
732;3.5;15;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
733;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
734;1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
735;4;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
736;3;7;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;3;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;4.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;3.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;3.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;3.5;30;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;3.5;12;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;2.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;3;12;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;3;20;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;3.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;4.5;25;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2.5;15;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2.5;6;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;2.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;3.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;3;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;3.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;0.5;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;3.5;6;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;2.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2;3;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;1.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;3;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;3;15;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;1.5;15;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;2.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;3.5;20;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;3.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;2.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;3.5;15;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;2;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;3;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;2;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;2;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;2;4;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;1.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;2;4;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;2.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;2;3;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;0.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;3;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;2.5;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;2.5;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;2.5;3;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;0.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;3;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;1.5;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;2.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;1.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;2.5;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;0.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;2;3;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;2;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;1.5;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;2.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;2.5;35;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2;6;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;0.5;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
630;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
645;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
659;2.5;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
660;2.5;25;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
661;0.1;2;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
663;3.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
664;1.5;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
667;1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
685;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
699;3;10;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
700;2.5;20;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
701;0.1;1;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
703;3;5;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
704;2;7;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
710;0;0;Lola1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
405;3;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;3.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;3;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;4;4;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;3;20;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;3.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;3;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;4.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;4;20;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83;3;7;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
87;4.5;20;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
99;2.5;20;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
104;2;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
106;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
121;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
126;2.5;17;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
127;4.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
141;2;5;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
143;3;17;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
145;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
146;3;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
148;2.5;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
150;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
160;3.5;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
165;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
171;3.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;3;5;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;1.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;2;4;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;3;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2.5;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
207;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
209;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
215;3;12;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
218;2;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
256;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
257;3;7;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
259;3.5;17;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
280;3;5;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
292;2.5;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
295;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
297;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
301;4.5;12;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
302;2.5;15;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
303;3.5;5;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
321;0;0;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
322;2.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
323;2.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;2;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
365;1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
372;2.5;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
373;3;3;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
389;2.5;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409;1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
410;3;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
414;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
416;2.5;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
433;2;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
450;4.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
453;1.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
454;3;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
466;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
502;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
508;2.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
521;1.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
524;3.5;10;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
541;1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
585;0.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
590;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
592;4;4;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
596;2;2;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
600;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
616;2.5;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
619;2.5;5;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
620;3.5;30;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
621;0.1;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
624;2;4;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
627;2;1;Renaud2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
