Pot;Hauteur;Recouvrement;Mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
181;3.5;10;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
182;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
183;3;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
184;2.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
185;3;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
186;4;5;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
187;3;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
188;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
189;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
190;3;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
191;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
192;3.5;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
193;3.5;25;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
194;0.1;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
195;2.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
196;3;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
197;3;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
198;2.5;12;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
199;1.5;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
200;4;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
201;2;2;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
202;2;3;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
203;3.5;4;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
204;2;1;Renaud1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
